Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
4,35,44.89,0.00,6056
4,36,44.54,0.00,5754
4,37,47.09,0.00,5965
4,38,46.26,0.00,5969
4,39,46.62,0.00,5786
4,40,46.38,0.00,5802
4,41,46.19,0.00,5863
4,42,46.53,0.00,5592
4,43,45.37,0.00,5585
4,44,46.04,0.00,5868
4,45,45.51,0.00,5599
4,46,45.89,0.00,5836
4,47,47.16,0.00,5976
4,48,46.96,0.00,5464
4,49,46.50,0.00,5717
4,50,44.45,0.00,5687
5,1,89.74,0.00,4311
5,2,59.59,0.00,6452
5,3,48.64,0.00,6663
5,4,48.51,0.00,6827
5,5,49.63,0.00,7044
5,6,49.11,0.00,6871
5,7,48.62,0.00,6734
5,8,48.52,0.00,6660
5,9,47.07,0.00,6560
5,10,46.11,0.00,6666
5,11,47.04,0.00,6937
5,12,46.57,0.00,6921
5,13,45.97,0.00,7016
5,14,46.02,0.00,6891
5,15,46.61,0.00,7298
5,16,46.13,0.00,7406
5,17,45.53,0.00,7362
5,18,46.08,0.00,6999
5,19,44.33,0.00,7150
5,20,45.08,0.00,7288
5,21,44.14,0.00,7041
5,22,43.73,0.00,6757
5,23,44.17,0.00,6787
5,24,44.42,0.00,6962
5,25,44.15,0.00,6588
5,26,44.35,0.00,6835
5,27,44.30,0.00,6782
5,28,44.30,0.00,6762
5,29,44.84,0.00,6643
5,30,44.58,0.00,6979
5,31,44.50,0.00,6958
5,32,43.34,0.00,6763
5,33,45.04,0.00,7032
5,34,43.46,0.00,7062
5,35,45.19,0.00,7203
5,36,44.05,0.00,6601
5,37,44.78,0.00,7007
5,38,44.05,0.00,6450
5,39,43.10,0.00,6922
5,40,44.25,0.00,6898
5,41,43.36,0.00,6749
5,42,43.81,0.00,6771
5,43,43.17,0.00,6730
5,44,43.81,0.00,6996
5,45,43.53,0.00,6151
5,46,44.74,0.00,7142
5,47,43.88,0.00,6680
5,48,44.12,0.00,6722
5,49,43.31,0.00,6257
5,50,44.36,0.00,6650
6,1,84.32,0.00,4879
6,2,57.46,0.00,7414
6,3,48.40,0.00,7671
6,4,49.34,0.00,7672
6,5,49.00,0.00,8094
6,6,48.82,0.00,8226
6,7,47.28,0.00,8343
6,8,47.02,0.00,8330
6,9,46.73,0.00,8279
6,10,46.02,0.00,8565
6,11,44.33,0.00,8241
6,12,42.83,0.00,8600
6,13,43.95,0.00,8489
6,14,43.17,0.00,8677
6,15,43.94,0.00,8797
6,16,43.18,0.00,8853
6,17,43.22,0.00,9216
6,18,42.43,0.00,8527
6,19,43.41,0.00,8930
6,20,41.40,0.00,8694
6,21,42.27,0.00,8648
6,22,43.21,0.00,9108
6,23,43.80,0.00,8993
6,24,43.20,0.00,8697
6,25,42.51,0.00,9192
6,26,44.58,0.00,8888
6,27,43.09,0.00,8734
6,28,43.04,0.00,8635
6,29,42.81,0.00,8686
6,30,42.70,0.00,9048
6,31,45.07,0.00,9280
6,32,44.47,0.00,8941
6,33,43.45,0.00,8560
6,34,43.73,0.00,8793
6,35,43.26,0.00,9021
6,36,44.00,0.00,8798
6,37,43.33,0.00,8564
6,38,43.66,0.00,8663
6,39,41.69,0.00,8462
6,40,42.46,0.00,8944
6,41,42.42,0.00,8473
6,42,42.09,0.00,8405
6,43,43.50,0.00,8438
6,44,43.79,0.00,9297
6,45,42.52,0.00,8830
6,46,43.25,0.00,8941
6,47,43.43,0.00,8743
6,48,43.64,0.00,9041
6,49,43.59,0.00,8820
6,50,42.80,0.00,8784
7,1,82.82,0.00,5795
7,2,57.69,0.00,8604
7,3,52.89,0.00,9367
7,4,51.24,0.00,9085
7,5,50.64,0.00,9226
7,6,50.27,0.00,9423
7,7,48.90,0.00,9648
7,8,48.08,0.00,9661
7,9,47.79,0.00,9716
7,10,46.48,0.00,10033
7,11,45.57,0.00,9686
7,12,44.84,0.00,9710
7,13,42.62,0.00,9714
7,14,43.53,0.00,9838
7,15,43.38,0.00,10006
7,16,42.08,0.00,10001
7,17,42.76,0.00,10173
7,18,41.40,0.00,9767
7,19,41.24,0.00,9743
7,20,42.16,0.00,9804
7,21,42.40,0.00,9812
7,22,41.81,0.00,9602
7,23,41.64,0.00,9664
7,24,40.94,0.00,9840
7,25,42.28,0.00,9988
7,26,40.72,0.00,9194
7,27,41.44,0.00,9790
7,28,42.49,0.00,9657
7,29,42.18,0.00,10019
7,30,42.23,0.00,9587
7,31,42.35,0.00,10018
7,32,41.22,0.00,9589
7,33,41.54,0.00,9315
7,34,40.82,0.00,9494
7,35,41.20,0.00,9205
7,36,41.36,0.00,9136
7,37,41.31,0.00,9806
7,38,41.28,0.00,9510
7,39,40.78,0.00,9857
7,40,41.99,0.00,9638
7,41,42.03,0.00,10070
7,42,43.37,0.00,9738
7,43,41.48,0.00,9491
7,44,42.40,0.00,9824
7,45,41.28,0.00,9101
7,46,40.64,0.00,9597
7,47,41.51,0.00,9691
7,48,41.26,0.00,9455
7,49,41.76,0.00,9685
7,50,42.43,0.00,9769
8,1,87.08,0.00,6663
8,2,58.18,0.00,9901
8,3,51.83,0.00,10906
8,4,50.63,0.00,10873
8,5,49.48,0.00,10916
8,6,49.64,0.00,11149
8,7,48.64,0.00,11469
8,8,47.05,0.00,10971
8,9,46.41,0.00,11426
8,10,45.67,0.00,11069
8,11,45.38,0.00,11318
8,12,43.49,0.00,11339
8,13,43.74,0.00,11736
8,14,42.61,0.00,11338
8,15,42.56,0.00,11031
8,16,41.83,0.00,10921
8,17,41.75,0.00,11270
8,18,41.07,0.00,10266
8,19,39.79,0.00,10330
8,20,42.21,0.00,10852
8,21,41.90,0.00,10648
8,22,41.69,0.00,10508
8,23,41.51,0.00,10363
8,24,42.39,0.00,10457
8,25,40.16,0.00,11689
8,26,42.50,0.00,10617
8,27,41.93,0.00,10919
8,28,41.69,0.00,10615
8,29,41.79,0.00,10704
8,30,42.10,0.00,11031
8,31,41.90,0.00,10752
8,32,41.89,0.00,10090
8,33,41.75,0.00,10763
8,34,41.46,0.00,10670
8,35,40.56,0.00,10794
8,36,41.38,0.00,11150
8,37,40.67,0.00,10798
8,38,41.42,0.00,10492
8,39,40.84,0.00,10110
8,40,41.39,0.00,9943
8,41,41.55,0.00,10573
8,42,42.25,0.00,10612
8,43,42.44,0.00,10782
8,44,40.77,0.00,10593
8,45,41.60,0.00,10247
8,46,41.61,0.00,10696
8,47,41.60,0.00,10927
8,48,40.61,0.00,10918
8,49,41.56,0.00,10312
8,50,41.90,0.00,10613
9,1,100.10,0.00,3313
9,2,70.03,0.00,5742
9,3,58.07,0.00,7352
9,4,58.00,0.00,7897
9,5,60.80,0.00,8196
9,6,62.07,0.00,8710
9,7,64.44,0.00,9158
9,8,63.05,0.00,9166
9,9,64.04,0.00,9219
9,10,65.05,0.00,10088
9,11,63.74,0.00,10362
9,12,60.52,0.00,10449
9,13,60.90,0.00,11173
9,14,56.80,0.00,10464
9,15,57.57,0.00,11688
9,16,57.02,0.00,11853
9,17,54.01,0.00,11799
9,18,54.25,0.00,12133
9,19,52.31,0.00,12235
9,20,49.06,0.00,12200
9,21,49.18,0.00,11967
9,22,48.87,0.00,12343
9,23,46.92,0.00,11823
9,24,47.03,0.00,12298
9,25,47.08,0.00,12525
9,26,47.08,0.00,12755
9,27,46.06,0.00,12131
9,28,46.27,0.00,12066
9,29,46.68,0.00,12113
9,30,45.82,0.00,11973
9,31,45.98,0.00,11673
9,32,45.83,0.00,12259
9,33,45.70,0.00,12072
9,34,46.93,0.00,12678
9,35,46.70,0.00,12079
9,36,45.96,0.00,11665
9,37,46.38,0.00,12373
9,38,45.51,0.00,12115
9,39,45.60,0.00,12669
9,40,46.12,0.00,12137
9,41,45.92,0.00,11891
9,42,47.24,0.00,12338
9,43,46.55,0.00,12666
9,44,45.60,0.00,11968
9,45,47.15,0.00,11767
9,46,46.35,0.00,11658
9,47,47.25,0.00,12673
9,48,46.55,0.00,12267
9,49,46.66,0.00,12440
9,50,45.70,0.00,12030
10,1,98.98,0.00,3319
10,2,73.87,0.00,5843
10,3,57.20,0.00,7327
10,4,59.58,0.00,7718
10,5,60.40,0.00,8272
10,6,63.43,0.00,8696
10,7,64.93,0.00,9090
10,8,64.84,0.00,9084
10,9,66.24,0.00,9408
10,10,66.42,0.00,10229
10,11,66.18,0.00,10684
10,12,64.07,0.00,10912
10,13,63.31,0.00,11573
10,14,60.86,0.00,11688
10,15,60.79,0.00,12256
10,16,56.95,0.00,12135
10,17,56.38,0.00,12717
10,18,53.66,0.00,12951
10,19,51.34,0.00,13140
10,20,50.55,0.00,13059
10,21,49.64,0.00,13468
10,22,47.57,0.00,13532
10,23,47.38,0.00,13556
10,24,46.26,0.00,13387
10,25,45.61,0.00,12908
10,26,45.96,0.00,13381
10,27,46.07,0.00,13192
10,28,45.71,0.00,13477
10,29,46.69,0.00,12918
10,30,46.15,0.00,13798
10,31,45.54,0.00,13428
10,32,46.31,0.00,13717
10,33,45.82,0.00,13146
10,34,46.00,0.00,13015
10,35,45.58,0.00,12919
10,36,45.45,0.00,13340
10,37,45.83,0.00,13485
10,38,46.58,0.00,13820
10,39,46.60,0.00,13240
10,40,45.99,0.00,13938
10,41,46.01,0.00,13855
10,42,46.14,0.00,13177
10,43,46.15,0.00,12616
10,44,45.72,0.00,12737
10,45,46.99,0.00,12800
10,46,45.95,0.00,12870
10,47,44.32,0.00,12911
10,48,45.11,0.00,12914
10,49,44.92,0.00,13570
10,50,45.28,0.00,13578
11,1,100.91,0.00,3312
11,2,71.09,0.00,5856
11,3,57.89,0.00,7479
11,4,60.37,0.00,7662
11,5,61.18,0.00,8144
11,6,63.68,0.00,8569
11,7,63.84,0.00,9104
11,8,66.11,0.00,9270
11,9,65.62,0.00,9633
11,10,66.51,0.00,10265
11,11,65.52,0.00,10641
11,12,64.58,0.00,11245
11,13,64.95,0.00,11860
11,14,61.32,0.00,12143
11,15,59.40,0.00,12034
11,16,58.18,0.00,12810
11,17,57.47,0.00,13406
11,18,54.47,0.00,13634
11,19,53.39,0.00,13389
11,20,50.91,0.00,13970
11,21,49.40,0.00,14296
11,22,47.19,0.00,14198
11,23,45.09,0.00,14636
11,24,44.69,0.00,14480
11,25,44.90,0.00,14681
11,26,46.17,0.00,13689
11,27,44.74,0.00,14035
11,28,44.12,0.00,14510
11,29,44.74,0.00,14479
11,30,44.05,0.00,14369
11,31,43.56,0.00,14382
11,32,44.33,0.00,14861
11,33,43.83,0.00,13997
11,34,44.46,0.00,14022
11,35,44.94,0.00,14111
11,36,44.24,0.00,14258
11,37,43.88,0.00,14653
11,38,43.62,0.00,14202
11,39,43.46,0.00,14585
11,40,43.88,0.00,14774
11,41,44.36,0.00,14374
11,42,44.95,0.00,14370
11,43,44.75,0.00,15073
11,44,44.79,0.00,13644
11,45,44.59,0.00,14049
11,46,44.72,0.00,14417
11,47,43.60,0.00,14250
11,48,44.33,0.00,14451
11,49,44.59,0.00,14554
11,50,43.77,0.00,14434
12,1,99.45,0.00,3331
12,2,73.18,0.00,5869
12,3,57.06,0.00,7368
12,4,60.40,0.00,8080
12,5,61.92,0.00,8442
12,6,63.64,0.00,8923
12,7,63.64,0.00,9080
12,8,65.75,0.00,9324
12,9,65.35,0.00,9632
12,10,66.64,0.00,10050
12,11,66.64,0.00,10754
12,12,65.01,0.00,11018
12,13,64.31,0.00,11625
12,14,63.97,0.00,12419
12,15,60.79,0.00,12519
12,16,58.50,0.00,13154
12,17,58.01,0.00,13477
12,18,54.78,0.00,13976
12,19,52.02,0.00,14395
12,20,50.06,0.00,14422
12,21,48.31,0.00,15214
